"","date_use","cumulative_tests","cumulative_tests_pos","percent_positive_tests_cum","tests","tests_pos","percent_positive_tests","avg_tests","avg_pos_tests","percent_positive_avg_tests"
"1",2021-01-02,10830047,961638,"8.9%",0,0,"NA%",50278,10532,"20.9%"
"2",2021-01-01,10830047,961638,"8.9%",766,232,"30.3%",60251,12997,"21.6%"
"3",2020-12-31,10829281,961406,"8.9%",16481,3371,"20.5%",61444,13324,"21.7%"
"4",2020-12-30,10812800,958035,"8.9%",70818,13951,"19.7%",65894,14053,"21.3%"
"5",2020-12-29,10741982,944084,"8.8%",113906,25556,"22.4%",73216,15135,"20.7%"
"6",2020-12-28,10628076,918528,"8.6%",116793,23099,"19.8%",74966,14617,"19.5%"
"7",2020-12-27,10511283,895429,"8.5%",33183,7514,"22.6%",77582,14250,"18.4%"
"8",2020-12-26,10478100,887915,"8.5%",69810,17258,"24.7%",77996,14152,"18.1%"
"9",2020-12-25,10408290,870657,"8.4%",9118,2521,"27.6%",78939,13819,"17.5%"
"10",2020-12-24,10399172,868136,"8.3%",47627,8470,"17.8%",94557,16211,"17.1%"
"11",2020-12-23,10351545,859666,"8.3%",122075,21527,"17.6%",105273,17845,"17%"
"12",2020-12-22,10229470,838139,"8.2%",126153,21931,"17.4%",105146,17586,"16.7%"
"13",2020-12-21,10103317,816208,"8.1%",135111,20526,"15.2%",104159,17448,"16.8%"
"14",2020-12-20,9968206,795682,"8%",36079,6831,"18.9%",103010,17242,"16.7%"
"15",2020-12-19,9932127,788851,"7.9%",76413,14927,"19.5%",102561,17139,"16.7%"
"16",2020-12-18,9855714,773924,"7.9%",118443,19266,"16.3%",101589,16895,"16.6%"
"17",2020-12-17,9737271,754658,"7.8%",122637,19907,"16.2%",100098,16416,"16.4%"
"18",2020-12-16,9614634,734751,"7.6%",121189,19715,"16.3%",97871,15783,"16.1%"
"19",2020-12-15,9493445,715036,"7.5%",119238,20964,"17.6%",95986,15080,"15.7%"
"20",2020-12-14,9374207,694072,"7.4%",127069,19087,"15%",95022,14343,"15.1%"
"21",2020-12-13,9247138,674985,"7.3%",32938,6104,"18.5%",94050,13792,"14.7%"
"22",2020-12-12,9214200,668881,"7.3%",69612,13219,"19%",93412,13624,"14.6%"
"23",2020-12-11,9144588,655662,"7.2%",108000,15918,"14.7%",92832,13135,"14.1%"
"24",2020-12-10,9036588,639744,"7.1%",107049,15476,"14.5%",92842,12613,"13.6%"
"25",2020-12-09,8929539,624268,"7%",107993,14789,"13.7%",93221,12190,"13.1%"
"26",2020-12-08,8821546,609479,"6.9%",112495,15805,"14%",93150,11819,"12.7%"
"27",2020-12-07,8709051,593674,"6.8%",120265,15231,"12.7%",92765,11309,"12.2%"
"28",2020-12-06,8588786,578443,"6.7%",28472,4927,"17.3%",92082,10828,"11.8%"
"29",2020-12-05,8560314,573516,"6.7%",65552,9797,"14.9%",91732,10632,"11.6%"
"30",2020-12-04,8494762,563719,"6.6%",108065,12263,"11.3%",90958,10458,"11.5%"
"31",2020-12-03,8386697,551456,"6.6%",109705,12519,"11.4%",80725,9347,"11.6%"
"32",2020-12-02,8276992,538937,"6.5%",107496,12190,"11.3%",66380,7741,"11.7%"
"33",2020-12-01,8169496,526747,"6.4%",109800,12233,"11.1%",63493,7068,"11.1%"
"34",2020-11-30,8059696,514514,"6.4%",115483,11866,"10.3%",62760,6341,"10.1%"
"35",2020-11-29,7944213,502648,"6.3%",26025,3557,"13.7%",60812,5567,"9.2%"
"36",2020-11-28,7918188,499091,"6.3%",60130,8575,"14.3%",61365,5421,"8.8%"
"37",2020-11-27,7858058,490516,"6.2%",36437,4491,"12.3%",60883,4830,"7.9%"
"38",2020-11-26,7821621,486025,"6.2%",9291,1273,"13.7%",68040,5044,"7.4%"
"39",2020-11-25,7812330,484752,"6.2%",87283,7480,"8.6%",78287,5626,"7.2%"
"40",2020-11-24,7725047,477272,"6.2%",104673,7143,"6.8%",78390,5360,"6.8%"
"41",2020-11-23,7620374,470129,"6.2%",101843,6447,"6.3%",75643,5128,"6.8%"
"42",2020-11-22,7518531,463682,"6.2%",29897,2538,"8.5%",72749,4994,"6.9%"
"43",2020-11-21,7488634,461144,"6.2%",56755,4437,"7.8%",71506,4911,"6.9%"
"44",2020-11-20,7431879,456707,"6.1%",86541,5987,"6.9%",69642,4789,"6.9%"
