,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
53303,US,United States,California,Los Angeles County,,,6037.0,2020-02-15,1.0,0.0,13.0,-1.0,-1.0,0.0
53304,US,United States,California,Los Angeles County,,,6037.0,2020-02-16,4.0,-1.0,27.0,-1.0,0.0,-1.0
53305,US,United States,California,Los Angeles County,,,6037.0,2020-02-17,7.0,0.0,30.0,-11.0,-32.0,7.0
53306,US,United States,California,Los Angeles County,,,6037.0,2020-02-18,-1.0,0.0,11.0,2.0,2.0,0.0
53307,US,United States,California,Los Angeles County,,,6037.0,2020-02-19,-1.0,-1.0,13.0,1.0,2.0,0.0
53308,US,United States,California,Los Angeles County,,,6037.0,2020-02-20,1.0,0.0,11.0,2.0,2.0,-1.0
53309,US,United States,California,Los Angeles County,,,6037.0,2020-02-21,1.0,0.0,7.0,0.0,2.0,0.0
53310,US,United States,California,Los Angeles County,,,6037.0,2020-02-22,-1.0,-1.0,-13.0,-5.0,1.0,1.0
53311,US,United States,California,Los Angeles County,,,6037.0,2020-02-23,4.0,1.0,13.0,0.0,2.0,0.0
53312,US,United States,California,Los Angeles County,,,6037.0,2020-02-24,1.0,-1.0,8.0,2.0,4.0,-1.0
53313,US,United States,California,Los Angeles County,,,6037.0,2020-02-25,2.0,1.0,13.0,3.0,3.0,-1.0
53314,US,United States,California,Los Angeles County,,,6037.0,2020-02-26,3.0,2.0,11.0,2.0,3.0,-1.0
53315,US,United States,California,Los Angeles County,,,6037.0,2020-02-27,3.0,2.0,14.0,3.0,2.0,-1.0
53316,US,United States,California,Los Angeles County,,,6037.0,2020-02-28,4.0,4.0,10.0,2.0,3.0,-1.0
53317,US,United States,California,Los Angeles County,,,6037.0,2020-02-29,3.0,4.0,11.0,0.0,2.0,-1.0
53318,US,United States,California,Los Angeles County,,,6037.0,2020-03-01,4.0,3.0,-5.0,-3.0,1.0,0.0
53319,US,United States,California,Los Angeles County,,,6037.0,2020-03-02,5.0,5.0,8.0,1.0,4.0,-1.0
53320,US,United States,California,Los Angeles County,,,6037.0,2020-03-03,8.0,7.0,32.0,2.0,3.0,-1.0
53321,US,United States,California,Los Angeles County,,,6037.0,2020-03-04,4.0,6.0,9.0,-1.0,2.0,0.0
53322,US,United States,California,Los Angeles County,,,6037.0,2020-03-05,4.0,7.0,9.0,0.0,2.0,0.0
53323,US,United States,California,Los Angeles County,,,6037.0,2020-03-06,3.0,6.0,7.0,-2.0,2.0,0.0
53324,US,United States,California,Los Angeles County,,,6037.0,2020-03-07,1.0,6.0,3.0,-4.0,2.0,0.0
53325,US,United States,California,Los Angeles County,,,6037.0,2020-03-08,3.0,4.0,16.0,-4.0,1.0,0.0
53326,US,United States,California,Los Angeles County,,,6037.0,2020-03-09,3.0,7.0,6.0,-4.0,3.0,0.0
53327,US,United States,California,Los Angeles County,,,6037.0,2020-03-10,-3.0,3.0,-29.0,-13.0,-2.0,3.0
53328,US,United States,California,Los Angeles County,,,6037.0,2020-03-11,2.0,11.0,5.0,-6.0,0.0,1.0
53329,US,United States,California,Los Angeles County,,,6037.0,2020-03-12,-8.0,12.0,-35.0,-19.0,-3.0,4.0
